"date",total
"2009-03-11",1.68
"2009-03-12",1.68
"2009-03-13",1.68
"2009-03-14",1.68
"2009-03-15",1.68
"2009-03-16",3.25
"2009-03-17",3.25
"2009-03-18",5.82
"2009-03-19",5.82
"2009-03-20",5.82
"2009-03-21",5.82
"2009-03-22",5.82
"2009-03-23",7.76
"2009-03-24",7.76
"2009-03-25",10.56
"2009-03-26",10.56
"2009-03-27",10.56
"2009-03-28",10.56
"2009-03-29",10.56
"2009-03-30",12.77
"2009-03-31",12.77
"2009-04-01",15.67
"2009-04-02",15.67
"2009-04-03",15.67
"2009-04-04",15.67
"2009-04-05",15.67
"2009-04-06",17.47
"2009-04-07",17.47
"2009-04-08",20.50
"2009-04-09",20.50
"2009-04-10",20.50
"2009-04-11",20.50
"2009-04-12",20.50
"2009-04-13",20.50
"2009-04-14",22.57
"2009-04-15",25.63
"2009-04-16",25.63
"2009-04-17",25.63
"2009-04-18",25.63
"2009-04-19",25.63
"2009-04-20",28.70
"2009-04-21",31.27
"2009-04-22",31.27
"2009-04-23",31.27
"2009-04-24",31.27
"2009-04-25",31.27
"2009-04-26",31.27
"2009-04-27",34.34
"2009-04-28",34.34
"2009-04-29",36.93
"2009-04-30",36.93
"2009-05-01",36.93
"2009-05-02",36.93
"2009-05-03",36.93
"2009-05-04",36.93
"2009-05-05",40.14
"2009-05-06",42.75
"2009-05-07",42.75
"2009-05-08",42.75
"2009-05-09",42.75
"2009-05-10",42.75
"2009-05-11",45.94
"2009-05-12",45.94
"2009-05-13",48.60
"2009-05-14",48.60
"2009-05-15",48.60
"2009-05-16",48.60
"2009-05-17",48.60
"2009-05-18",51.58
"2009-05-19",51.58
"2009-05-20",54.23
"2009-05-21",54.23
"2009-05-22",54.23
"2009-05-23",54.23
"2009-05-24",54.23
"2009-05-25",54.23
"2009-05-26",57.19
"2009-05-27",59.85
"2009-05-28",59.85
"2009-05-29",59.85
"2009-05-30",59.85
"2009-05-31",59.85
"2009-06-01",62.99
"2009-06-02",62.99
"2009-06-03",65.64
"2009-06-04",65.64
"2009-06-05",65.64
"2009-06-06",65.64
"2009-06-07",65.64
"2009-06-08",68.60
"2009-06-09",68.60
"2009-06-10",71.16
"2009-06-11",71.16
"2009-06-12",71.16
"2009-06-13",71.16
"2009-06-14",71.16
"2009-06-15",74.62
"2009-06-16",74.62
"2009-06-17",77.18
"2009-06-18",77.18
"2009-06-19",77.18
"2009-06-20",77.18
"2009-06-21",77.18
"2009-06-22",80.02
"2009-06-23",80.02
"2009-06-24",82.65
"2009-06-25",82.65
"2009-06-26",82.65
"2009-06-27",82.65
"2009-06-28",82.65
"2009-06-29",85.92
"2009-06-30",85.92
"2009-07-01",88.55
"2009-07-02",88.55
"2009-07-03",88.55
"2009-07-04",88.55
"2009-07-05",88.55
"2009-07-06",91.87
"2009-07-07",91.87
"2009-07-08",94.49
"2009-07-09",94.49
"2009-07-10",94.49
"2009-07-11",94.49
"2009-07-12",94.49
"2009-07-13",96.62
"2009-07-14",96.62
"2009-07-15",98.66
"2009-07-16",98.66
"2009-07-17",98.66
"2009-07-18",98.66
"2009-07-19",98.66
"2009-07-20",100.83
"2009-07-21",100.83
"2009-07-22",102.82
"2009-07-23",102.82
"2009-07-24",102.82
"2009-07-25",102.82
"2009-07-26",102.82
"2009-07-27",104.82
"2009-07-28",104.82
"2009-07-29",106.67
"2009-07-30",106.67
"2009-07-31",106.67
"2009-08-01",106.67
"2009-08-02",106.67
"2009-08-03",106.67
"2009-08-04",106.67
"2009-08-05",106.67
"2009-08-06",106.67
